name,population
Мариинск,37786
Мариинский Посад,8330
Маркс,30241
Махачкала,604266
Мглин,7177
Мегион,46188
Медвежьегорск,13841
Медногорск,24321
Медынь,8370
Межгорье,15404
Междуреченск,96088
Мезень,3161
Меленки,13269
Мелеуз,56036
Менделеевск,21840
Мензелинск,16840
Мещовск,3803
Миасс,150914
Микунь,9400
Миллерово,33690
Минеральные Воды,73183
Минусинск,67234
Миньяр,8768
Мирный,33321
Мирный,35416
Михайлов,9795
Михайловка,56981
Михайловск,8720
Михайловск,95525
Мичуринск,89876
Могоча,12992
Можайск,30052
Можга,48750
Моздок,41459
Мончегорск,40675
Морозовск,24186
Моршанск,37477
Мосальск,4250
Москва,12655050
Муравленко,31445
Мураши,5739
Мурино,78184
Мурманск,282851
Муром,105572
Мценск,36179
Мыски,40549
Мытищи,245643
Мышкин,5473
Набережные Челны,532074
Навашино,14436
Наволоки,8988
Надым,45584
Назарово,49518
Назрань,124169
Называевск,10709
Нальчик,239054
Нариманов,10601
Наро-Фоминск,67009
Нарткала,30464
Нарьян-Мар,25536
Находка,142673
Невель,14241
Невельск,9679
Невинномысск,115627
Невьянск,22900
Нелидово,17639
Неман,10765
Нерехта,20635
Нерчинск,14648
Нерюнгри,58969
Нестеров,3937
Нефтегорск,17806
Нефтекамск,131945
Нефтекумск,24316
Нефтеюганск,128159
Нея,8474
Нижневартовск,278725
Нижнекамск,240097
Нижнеудинск,32858
Нижние Серги,8891
Нижний Ломов,20175
Нижний Новгород,1244254
Нижний Тагил,344656
Нижняя Салда,17229
Нижняя Тура,19091
Николаевск,13310
Николаевск-на-Амуре,17668
Никольск,19357
Никольск,7960
Никольское,21949
Новая Ладога,7806
Новая Ляля,11596
Новоалександровск,26354
Новоалтайск,74586
Новоаннинский,15791
Нововоронеж,31558
Новодвинск,37256
Новозыбков,39449
Новокубанск,34925
Новокузнецк,544583
Новокуйбышевск,99469
Новомичуринск,16327
Новомосковск,121674
Новопавловск,26054
Новоржев,3070
Новороссийск,275795
Новосибирск,1620162
Новосиль,3087
Новосокольники,6900
Новотроицк,82463
Новоузенск,14945
Новоульяновск,13588
Новоуральск,79638
Новохопёрск,5805
Новочебоксарск,127586
Новочеркасск,166312
Новошахтинск,105038
Новый Оскол,18443
Новый Уренгой,118115
Ногинск,103063
Нолинск,9460
Норильск,182701
Ноябрьск,108376
Нурлат,31555
Нытва,17976
Нюрба,9761
Нягань,58733
Нязепетровск,11301
Няндома,18857
Облучье,8264
Обнинск,116179
Обоянь,13162
Обь,30131
Одинцово,135867
Озёрск,3816
Озёрск,78128
Озёры,24468
Октябрьск,25771
Октябрьский,113737
Окуловка,9510
Оленегорск,19887
Олонец,7942
Олёкминск,9102
Омск,1139897
Омутнинск,21431
Онега,18149
Опочка,9089
Оренбург,572819
Орехово-Зуево,117966
Орлов,6335
Орск,224814
Орёл,303696
Оса,20782
Осинники,41274
Осташков,15187
Остров,20531
Островной,1640
Острогожск,31476
Отрадное,26030
Отрадный,47055
Оха,19783
Оханск,6955
Очёр,14246
Павлово,56129
Павловск,24191
Павловский Посад,62718
Палласовка,14248
Партизанск,36247
Певек,4513
Пенза,516450
Первомайск,13101
Первоуральск,119365
Перевоз,8611
Пересвет,13293
Переславль-Залесский,37391
Пермь,1049199
Пестово,14842
Петров Вал,12285
Петровск,27987
Петровск-Забайкальский,15626
Петрозаводск,280711
Петропавловск-Камчатский,179367
Петухово,9916
Петушки,12166
Печора,37556
Печоры,9003
Пикалёво,19490
Пионерский,12573
Питкяранта,10048
Плавск,15563
Пласт,17101
Плёс,1734
Поворино,16706
Подольск,309250
Подпорожье,16462
Покачи,18217
Покров,16542
Покровск,9507
Полевской,60012
Полесск,6921
Полысаево,25638
Полярные Зори,14230
Полярный,17280
Поронайск,15777
Порхов,8095
Похвистнево,27665
Почеп,16209
Починок,8171
Пошехонье,5639
Правдинск,4045
Приволжск,15085
Приморск,1921
Приморск,5405
Приморско-Ахтарск,32020
Приозерск,17685
Прокопьевск,187877
Пролетарск,18549
Протвино,34879
Прохладный,58747
Псков,209426
Пугачёв,40425
Пудож,8513
Пустошка,3829
Пучеж,6010
Пушкино,108741
Пущино,20583
Пыталово,5392
Пыть-Ях,39436
Пятигорск,146267
Радужный,18470
Радужный,44127
Райчихинск,16479
Раменское,123590
Рассказово,42293
Ревда,60761
Реж,36420
Реутов,108000
Ржев,56399
Родники,23895
Рославль,48228
Россошь,62290
Ростов,30406
Ростов-на-Дону,1137704
Рошаль,19823
Ртищево,38030
Рубцовск,139565
Рудня,9413
Руза,12476
Рузаевка,43685
Рыбинск,182383
Рыбное,20949
Рыльск,15986
Ряжск,20641
Рязань,534801
Сакине призн.,24282
Салават,148947
Салаир,7169
Салехард,51186
Сальск,56247
Самара,1144759
Санкт-Петербург,5384342
Саранск,317432
Сарапул,94554
Саратов,830155
Саров,96479
Сасово,23213
Сатка,40808
Сафоново,40537
Саяногорск,45384
Саянск,38899
Светлогорск,16099
Светлоград,34896
Светлый,21441
Светогорск,14982
Свирск,12686
Свободный,52918
Себеж,5197
Севастопольне призн.,509992
Северо-Курильск,2691
Северобайкальск,23304
Северодвинск,180806
Североморск,54473
Североуральск,25157
Северск,105858
Севск,6510
Сегежа,25585
Сельцо,16159
Семикаракорск,21826
Семилуки,27139
Семёнов,23902
Сенгилей,6182
Серафимович,8578
Сергач,19843
Сергиев Посад,98784
Сердобск,30420
Серов,95141
Серпухов,125473
Сертолово,58802
Сибай,60017
Сим,12235
Симферопольне призн.,336212
Сковородино,8745
Скопин,25433
Славгород,28757
Славск,3964
Славянск-на-Кубани,67777
Сланцы,31985
Слободской,31465
Слюдянка,18139
Смоленск,320170
Снежинск,51921
Снежногорск,12982
Собинка,16973
Советск,15118
Советск,38514
Советск,7246
Советская Гавань,23245
Советский,29452
Сокол,36067
Солигалич,5912
Соликамск,91959
Солнечногорск,49389
Соль-Илецк,26655
Сольвычегодск,1833
Сольцы,8336
Сорочинск,26980
Сорск,11103
Сортавала,18704
Сосенский,10291
Сосновка,10610
Сосновоборск,41152
Сосновый Бор,67054
Сосногорск,25795
Сочи,432322
Спас-Деменск,4286
Спас-Клепики,5084
Спасск,6966
Спасск-Дальний,39311
Спасск-Рязанский,6567
Среднеколымск,3470
Среднеуральск,23889
Сретенск,6353
Ставрополь,454488
Старая Купавна,22692
Старая Русса,27377
Старица,7222
Стародуб,18086
Старый Крымне призн.,9381
Старый Оскол,223711
Стерлитамак,274134
Стрежевой,39903
Строитель,23923
Струнино,12754
Ступино,65660
Суворов,17006
Судакне призн.,16235
Суджа,5554
Судогда,10017
Суздаль,9597
Сунжа,66807
Суоярви,8607
Сураж,10556
Сургут,387235
Суровикино,18154
Сурск,5725
Сусуман,4273
Сухиничи,14629
Сухой Лог,33048
Сызрань,165199
Сыктывкар,243926
Сысерть,21029
Сычёвка,8394
Сясьстрой,12203
Тавда,32338
Таганрог,248269
Тайга,22619
Тайшет,32592
Талдом,12575
Талица,15486
Тамбов,289701
Тара,28268
Тарко-Сале,21664
Таруса,9126
Татарск,23282
Таштагол,22647
Тверь,424969
Теберда,8672
Тейково,31623
Темников,5561
Темрюк,41281
Терек,19643
Тетюши,10804
Тимашёвск,50566
Тихвин,57327
Тихорецк,56262
Тобольск,98772
Тогучин,20489
Тольятти,693072
Томари,3788
Томмот,6694
Томск,568508
Топки,27673
Торжок,43614
Торопец,11527
Тосно,35099
Тотьма,9652
Троицк,72723
Трубчевск,13515
Трёхгорный,32571
Туапсе,60987
Туймазы,68108
Тула,467955
Тулун,38466
Туран,4916
Туринск,16999
Тутаев,39749
Тында,32894
Тырныауз,20661
Тюкалинск,10159
Тюмень,816700
Уварово,22916
Углегорск,8443
Углич,31452
Удачный,12198
Удомля,26726
Ужур,15221
Узловая,49155
Улан-Удэ,437514
Ульяновск,625462
Унеча,22565
Урай,40692
Урень,12289
Уржум,9703
Урус-Мартан,63955
Урюпинск,36186
Усинск,37198
Усмань,19396
Усолье,6124
Усолье-Сибирское,75062
Уссурийск,172942
